id	title	group	teacher/id	teacher/name	class_type/id	class_type/name	class_format/id	class_format/name	date/day	date/weeks/0	date/weeks/1	date/weeks/2	date/weeks/3	date/weeks/4	date/weeks/5	date/weeks/6	date/weeks/7	time/class_number	time/from	time/to	classroom/id	classroom/name	campus/id	campus/adress
1000	Информатика	Информ 1.2 (P3107)	125598	Балакшин Павел Валерьевич	2	Лабораторная	2	Очно - дистанционный	6	2	4	6	8	10	12	14	16	4	13:30	15:00	1415	1415 ауд.	0	Кронверкский пр., д.49, лит.А
1001	Информатика	Информ 1.1 (P3106)	125598	Балакшин Павел Валерьевич	2	Лабораторная	2	Очно - дистанционный	6	1	3	5	7	9	11	13	15	4	13:30	15:00	1415	1415 ауд.	0	Кронверкский пр., д.49, лит.А
1002	Информатика	Информ 1.2 (P3107)	125598	Балакшин Павел Валерьевич	2	Лабораторная	2	Очно - дистанционный	6	2	4	6	8	10	12	14	16	5	15:20	16:50	1415	1415 ауд.	0	Кронверкский пр., д.49, лит.А
1003	Информатика	Информ 1.1 (P3106)	125598	Балакшин Павел Валерьевич	2	Лабораторная	2	Очно - дистанционный	6	1	3	5	7	9	11	13	15	5	15:20	16:50	1415	1415 ауд.	0	Кронверкский пр., д.49, лит.А

